category;total;AALTAF@min-UC;AALTAF@min-UC[%];AALTAF@min-timing;AALTAF@min-timing%;TRP++@min-UC;TRP++@min-UC[%];TRP++@min-timing;TRP++@min-timing%;NuSMV-S@min-UC;NuSMV-S@min-UC[%];NuSMV-S@min-timing;NuSMV-S@min-timing%;NuSMV-B@min-UC;NuSMV-B@min-UC[%];NuSMV-B@min-timing;NuSMV-B@min-timing%;None@min-UC;None@min-UC[%];None@min-timing;None@min-timing%
;1377;690;50.11;1260;91.50;543;39.43;0;0.00;12;0.87;8;0.58;104;7.55;81;5.88;28;2.03;28;2.03
LTL-as-LTLf/acacia/demo-v3/demo-v3:cl;11;7;63.64;11;100.00;4;36.36;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/alaska/lift/lift;17;16;94.12;17;100.00;1;5.88;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/alaska/lift/lift:b;17;16;94.12;17;100.00;1;5.88;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/alaska/lift/lift:b:f;17;16;94.12;17;100.00;1;5.88;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/alaska/lift/lift:b:f:l;17;15;88.24;16;94.12;1;5.88;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;1;5.88;1;5.88
LTL-as-LTLf/alaska/lift/lift:b:l;17;14;82.35;17;100.00;3;17.65;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/alaska/lift/lift:f;17;16;94.12;17;100.00;1;5.88;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/alaska/lift/lift:f:l;17;15;88.24;16;94.12;1;5.88;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;1;5.88;1;5.88
LTL-as-LTLf/alaska/lift/lift:l;17;16;94.12;17;100.00;1;5.88;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/anzu/amba/amba:c;17;15;88.24;15;88.24;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;2;11.76;2;11.76
LTL-as-LTLf/anzu/amba/amba:cl;17;16;94.12;16;94.12;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;1;5.88;1;5.88
LTL-as-LTLf/anzu/genbuf/genbuf;20;20;100.00;20;100.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/anzu/genbuf/genbuf:c;20;20;100.00;20;100.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/anzu/genbuf/genbuf:cl;20;18;90.00;18;90.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;2;10.00;2;10.00
LTL-as-LTLf/forobots;38;38;100.00;38;100.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTL-as-LTLf/rozier/counter/counter;19;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;14;73.68;14;73.68;5;26.32;5;26.32
LTL-as-LTLf/rozier/counter/counterCarry;19;0;0.00;0;0.00;6;31.58;0;0.00;0;0.00;0;0.00;12;63.16;18;94.74;1;5.26;1;5.26
LTL-as-LTLf/rozier/counter/counterCarryLinear;19;0;0.00;0;0.00;6;31.58;0;0.00;0;0.00;0;0.00;13;68.42;19;100.00;0;0.00;0;0.00
LTL-as-LTLf/rozier/counter/counterLinear;18;0;0.00;1;5.56;0;0.00;0;0.00;0;0.00;0;0.00;18;100.00;17;94.44;0;0.00;0;0.00
LTL-as-LTLf/rozier/formulas/n;30;12;40.00;24;80.00;0;0.00;0;0.00;8;26.67;4;13.33;10;33.33;2;6.67;0;0.00;0;0.00
LTL-as-LTLf/schuppan/O1formula;27;20;74.07;20;74.07;0;0.00;0;0.00;4;14.81;4;14.81;3;11.11;3;11.11;0;0.00;0;0.00
LTL-as-LTLf/schuppan/O2formula;27;5;18.52;5;18.52;0;0.00;0;0.00;0;0.00;0;0.00;8;29.63;8;29.63;14;51.85;14;51.85
LTL-as-LTLf/schuppan/phltl;13;12;92.31;12;92.31;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;1;7.69;1;7.69
LTLf-specific/benchmarks:ltlf/LTLfRandomConjunction/C100;500;255;51.00;500;100.00;245;49.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00;0;0.00
LTLf-specific/benchmarks:ltlf/LTLfRandomConjunction/V20;425;127;29.88;425;100.00;272;64.00;0;0.00;0;0.00;0;0.00;26;6.12;0;0.00;0;0.00;0;0.00
